Country Name,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,,,,,,,632822,2470831,1220172,3006875,5947699,4893014,893970,382300,653499,876851,1003873,1360239,953597,700302,1031073,859824,547584,666683,843456,524209,712524,,,,,,,,,,,,,,,,,,,,,,,,63201392,413322118,631204811,804492179,2071721045,4147042387,6489094127,6208732247,6934461055,10265417053
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189410,249043,366541,1159644,7467236,1109639,3054987,7012026,3031844,11777875,5977763,10662905,7276436,5040070,5048112,4319779,2879278,4265786,5180215,5056000
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101207,70142,231224,137482,168293,226936,265701,221965,198366,79405,102751,102168,81592,166420,161638,146991,151110,82308,736784,844240,1038264,905141,1795635,725561,909760,1035023,1035000
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2724485,232737,,,,,,363577,587093,355944,704976,468937,362259,487812,380358,418000
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27583,56993,82806,75538,66564,74682,4902,1235539,983853,1297755,139001,62390,59706,242479,456111,6176013,14669932,902398,944128,4450768,399693,1798854,741454,476216,576825,110661,699815,2237282,379000
Argentina,,,,,,,,,,,,,,,1677736,23483691,173107772,8558370,58502816,94365347,153225971,85806909,59777506,58345261,2803860,74001584,88896598,49386145,88419325,105063597,111971213,2184709,,,,,,,,,,,56011,238551,231664,6103530,9887795,23249950,1767623,7911274,22704686,2981181,7464128,10875377,7462241,2633818,3427447,5564407,1542882,1472674,1401154,1463427,1387440,1397572,1512256,681000
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9919942,6812846,3938223,9816310,5276872,5166590,3835766,3454824,3558849,3443000
Asia (not specified),,,,,237763961,687141787,1081017329,1498450067,1522961510,360873757,-138633922,-44532804,-13157686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,769865,,,,,
Australia,,,,,,,,,,,,,,155662357,28063948,13831623,115980126,182680372,145125064,57059709,27927308,,,,,,,,,,,,,,,,,,,,,,,,,,,,14180,,,,,,,,,,,,,,7308,205828,,
Austria,,,,,431752762,,2138934,,,2061390,2678916,225891,235998761,38526433,22255931,4444161,46064927,50574855,2443906,279593,128466,92015,57514,,18977,,51769,95077,92549,31414,58619,72723,141937,131347,57934,61530,78158,82748,102587,82806,115105,92840,37341,34312,20487,39476,,,14180,20828,20434,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10432216,7076500,4188325,11740453,7747038,4852808,4210344,4137144,4089107,3937000
"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80966,75538,80578,86563,58821,69341,179158,118381,108594,21269,73592,260188,921584,1220410,5373153,6463775,6811211,6174319,5908721,7079173,2234598,6503156,7752957,13792974,10519872,6987172,5162000
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1589268,873099,1440068,32857575,112098959,15533012,27068477,23536987,18781626,7784300,47693114,113788519,29648219,28224215,17865258,24273441,4791837,8912355,20059058,15896000
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133325,598975,619957,299327,296661,331143,388130,499638,618283,482002,523757,492221,531020,472783,5396006,4775204,668941,350235,3127492,444091,2860659,2063074,1556415,582852,633165,796052,929408,1599243,5844071,2111629,2055206,1476178,1417126,2558496,3951000
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15762,72418,37357,115180,102450,132984,126969,124097,119115,142574,3268,1057457,1914565,1282957,169407,65226,147183,407310,3271690,693415,642641,545784,1196395,846420,627230,270063,204696,164971,227525,270389,390044,695454,537000
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140449,14356360,20457034,380066,365156,80568,,,,,,,,,,,,,
Belgium,,,,,691369109,2480698317,2072377668,990358350,545897554,726406255,326814403,369131764,40901607,156162701,105111689,334911714,36899523,71492052,34992555,2288094,106124,119079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4176,3087,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41136,94570,94988,1100397,129493,164659,517681,174828,799003,933749,961848,903505,302024,74980,397775,578685,863797,718245,520221,1052778,984009,899310,763221,1373738,851250,3932024,1876020,4796823,5258734,13504000
Benin,,,,,,,,,,,,,,,,,315228,23496,,,,21651,10457,70012,,,,,,,,,,,,,,,,84646,106112,150646,112023,133980,231664,177640,156855,525597,143213,223552,382790,468149,4723144,484913,455033,479557,616695,459888,,,379433,408050,152420,438414,322234,618000
Bolivia,,,,,,,,,,,,,538839,2100206,1970577,10536089,14250686,29146624,16544257,14247809,15980006,20135098,12788925,9751715,7059464,11331337,25975270,19813157,30498863,25187339,44380761,8047970,2165960,16828143,494855,,,,237471,6162594,251792,322312,638190,1266279,73680033,54485393,41199639,33228422,10832881,4995171,751277,6313319,12860530,6407928,10773542,8418477,7585838,8604243,10891758,6372869,4335438,2132116,1659917,639096,883084,280000
Bosnia & Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316583,109533829,18084346,7706808,6037953,1242241,8392251,4877049,4289119,22767484,10731756,11111346,10196986,4451502,4666122,5257714,5477000
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168975,1147089,1223791,10231254,13725810,17087442,564733,611341,549930,558797,2130674,4860050,861224,3330203,516136,5866461,618458,522989,1490449,732584,612250,2822394,2078581,1738426,1669694,1356680,833653,721031,1090952,841837,1038082,1106000
Brazil,,,,,,,191791097,448857882,79645554,52909003,56886789,168475986,42818869,135086512,203042667,160927932,234190638,48348622,202594589,76910782,188861216,181318719,189559476,3770663,3686293,54153672,88538527,71989597,178176758,227492357,143439608,139385,,,,,,,,,,,72984,202605,152866,109317,217526,361981,136124,138852,272448,4159835,12642600,1980063,967585,24208819,1588419,1543394,785531,738043,1063513,812896,2266466,986946,1481664,1643000
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26099,,,43000
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492762,403971,425387,659284,7926629,5227745,6802067,13522825,7669102,18194451,11930956,24467979,11638540,9608203,12625779,11809960,8622175,9496906,11184370,11310000
